number,group_number,group_name,description,dimensions,price
8239-3,8239-3,Mandeville Collection ,Sofa,85 x 36 x 39H,450.0
5503*,5503,Yannis Collection ,Dining Table,35.5 x 63 – 78.75 x 30H,303.0
1828S,1828-92,Chambord Collection ,Side Chair,22 x 26.25 x 42H,125.0
1737NGY-4,1737NGY-1,Lyric Collection ,Night Stand with Glass Top,23.5 x 17.5 x 24.5H,133.0
5048S,5048-72,Fillmore Collection ,Side Chair,18.5 x 24 x 34H,77.0
1958S,1958-96,Bevelle Collection ,Side Chair,21.25 x 27.25 x 40.75H,91.0
5430S,5430-60,Miami Collection ,Side Chair,16.75 x 22.5 x 40.5H,46.0
5547-36,5547-36*,Mantello Collection,Counter Height Table,54 x 36 - 54 x 36H,182.0
2243S,2243-114,Deryn Park Collection ,Side Chair,23.25 x 26.5 x 43.75H,118.0
2588-40,2588-92,Chicago Collection ,Server,60 x 18 x 38H,430.0
2526S,2526-96,Marie Louise Collection ,Side Chair,23 x 24 x 39.5H,95.0
5052-118*,5052-118,Thurmont Collection ,Dining Table,44 x 82 – 100 – 118 x 30H,538.0
5052-50*,5052-118,Thurmont Collection ,Buffet & Hutch,60.5 x 18 x 86.5H,880.0
5179-90*,5179-90,Urbana Collection ,Dining Table,42 x 78 – 90 x 30H,336.0
2526-96*,2526-96,Marie Louise Collection ,Dining Table,42 x 78 – 96 x 30H,400.0
5547-24,5547-36*,Mantello Collection,Counter Height Chair,19 x 21.75 x 42H,48.0
5880DB-1,5880DB-1,Kaydee Collection,Queen Bed,HB:52.5H   FB:16H,158.0
2529S,2529-64,Hahn Collection ,Side Chair,19 x 25 x 39H,51.0
2456-36,2456-36,Decatur Collection ,Counter Height Table,54 x 54 x 36H,277.0
5888-1*,5888-1*,Bossa Nova Collection,Queen Bed,HB: 66.5H  FB: 37.5H,312.0
2259GY-1*,2259GY-1,Bethel Collection ,Queen Sleigh Platform Bed with Footboard Storages,HB: 57H FB: 21H,504.0
5876KBE-1CK*,5876BE-1*,Neunan Collection,California King Platform Bed,HB: 67H  FB: 15H,259.0
2524-24,2524-36,Broome Collection ,Counter Height Chair,18 x 21 x 41H,49.0
1372-78,1372-78,Crown Point Collection ,Dining Table,42 x 60 – 78 x 30H,247.0
3217PUS,3217PU,Hight Rowley Collection ,4pc Ottoman Pack with Storage,16.25 x 16.25 x 17.5H,0.0
2546-40M,2546-96,Keegan Collection ,Server Top W/ Mirror,56.25 x 13.5 x 22.5H,190.0
2243S,2243-76,Deryn Park Collection ,Side Chair,23.25 x 26.5 x 43.75H,118.0
8244SD-2,8244SD-3,Erath Collection ,Love Seat,63 x 39 x 39H,285.0
1178RED,1178,Ride Collection,Red Airlift Swivel Stool,23 x 21.5 x 36H,58.0
1156RED,1156,Ride Collection ,Red Airlift Swivel Stool,18 x 19 x 31.5H,42.0
2243A,2243-76,Deryn Park Collection ,Arm Chair,26.75 x 26.5 x 43.75H,126.0
2529-13,2529-64,Hahn Collection ,"49"" Bench",49 x 18 x 20H,69.0
8235SS-R,8235SS,Breaux Collection ,Right Side 2-Seater,58 x 34.5 x 33H,0.0
9769BR-1LT,9769BR,Elevated Collection ,Power Lift Chair,35 x 37 x 40H,306.0
1155WHT,1155,Ride Collection ,White Airlift Swivel Stool,21.5 x 19 x 32.5H,42.0
5875BE-1*,5875BE-1*,Kinsale Collection,Queen Platform Bed,HB: 52H  FB: 15H,262.0
1947S,1947-96,Lindley Collection ,Side Chair,20 x 26 x 41H,96.0
1915-60,1915-60,Anika Collection ,Dining Table,35.5 x 60 x 30H,110.0
5547-24BH,5547-36*,Mantello Collection,Counter Height Bench with Back,44.5 x 21.75 x 42H,95.0
2243A,2243-114,Deryn Park Collection ,Arm Chair,26.75 x 26.5 x 43.75H,126.0
1744-6,1744-1*,Liatris Collection,Mirror,36 x 2 x 40H,74.0
1149RED,1149,Ride Collection ,Red Airlift Swivel Stool,20.5 x 20 x 30H,40.0
5034BUES,5034,Amara Collection,"Metal Chair, Blue",15.75 x 19.75 x 37.25H,49.0
5876BE-1*,5876BE-1*,Neunan Collection,Queen Platform Bed,HB: 67H  FB: 15H,226.0
1155BLK,1155,Ride Collection ,Black Airlift Swivel Stool,21.5 x 19 x 32.5H,42.0
1149BLK,1149,Ride Collection ,Black Airlift Swivel Stool,20.5 x 20 x 30H,40.0
1155RED,1155,Ride Collection ,Red Airlift Swivel Stool,21.5 x 19 x 32.5H,42.0
5447-36*,5447-36,Bayshore Collection ,Counter Height Table,47.5 x 47.5 x 36H,229.0
8230BRW-3,8230BRW-3,Bastrop Collection ,Double Reclining Sofa,87.5 x 38.5 x 39.5H,448.0
B1799F-1*,B1799T-1,Clementine Collection ,Full Platform Bed,HB: 46.5H FB: 32H,285.0
3612-31,3612-31,Paseo Collection,3-Piece Occasional Tables,48 x 24 x 17.5H,212.0
1729-6,1729-1*,Vargehese Collection,Mirror,52 x 1.5 x 40H,113.0
4964BK-NT,4964BK-NT,Jones Collection ," Metal Daybed with Trundle 
Daybed:  82.5 x 42 x 42H 
Trundle:  76.75 x 41 x 4.25H ",,125.0
5566-29RD,5566-36*,Appert Collection,"Swivel Pub Height Chair, Red",20.5 x 19 x 39.5H,50.0
5431S,5431-77,Compson Collection ,Side Chair,19 x 22.5 x 39.25H,55.0
1706-5,1706-1,Moritz Collection ,Dresser,63 x 17.75 x 34H,343.0
B2053W-R,B2053FFW-1,Galen Collection ,Twin Trundle,74.75 x 40.5 x 10.75H,65.0
1349-5,1349T-1,Glamour Collection ,Dresser,54 x 18 x 40H,289.0
2516-48*,2516-48,Euro Casual Collection ,Round Dining Table,48 Dia x 30H,245.0
1978W-9,1978W-1,Elsmere Collection ,Chest,44 x 19.25 x 56H,435.0
292BK-1CK*,292B-1*,Narcine Collection,California King Platform Bed with Rails Storage,HB: 66H  FB:22H,601.0
1977F-1*,1977-1,Aviana Collection ,Full Bed,HB: 63.5H FB: 31.5H,235.0
5302C-24,5302C,Saddleback Collection ,"Stool, RTA, 24""H, Cherry",18 x 9 x 24H,23.0
2515S,2515-96,Clayton Collection ,Side Chair,18.75 x 22.5 x 40H,51.0
1349F-1*,1349T-1,Glamour Collection ,Full Bed,HB: 54.25H FB: 27H,256.0
1935-50*,1935-110,Bonaventure Park Collection ,Buffet & Hutch,71.75 x 21 x 93H,1477.0
5874NV-1*,5874NV-1*,Carlow Collection,Queen Bed,HB: 62H  FB: 16.75H,186.0
2039W-6,2039TW-1,Lucida Collection ,Mirror,38.25 x 2 x 42H,93.0
5448-78*,5448-78,Avery Collection ,Dining Table,46 x 60 – 78 x 30H,335.0
1715-6,1715-1*,Holverson Collection,Mirror,40 x 3 x 36H,88.0
5887-1*,5887-1*,Northside Collection,Queen Bed,HB: 53H  FB: 22.5H,219.0
1869-6,1869-1,Mill Valley Collection,Mirror,44.25 x 2.5 x 46.25H,96.0
5431-77*,5431-77,Compson Collection ,Dining Table,41.75 x 59.25 – 77 x 30H,321.0
5887K-1CK*,5887-1*,Northside Collection,California King bed,HB: 53H  FB: 22.5H,254.0
8480BRW-AR,8480BRW-2LCN,Pecos Collection ,Armless Reclining Chair,22 x 40.5 x 39H,155.0
5447-24FAS,5447-36,Bayshore Collection ,"Swivel Counter Height Chair, Chocolate",20.5 x 23 x 41.25H,82.0
1915-40,1915-60,Anika Collection ,Server,47.5 x 17.75 x 35.5H,274.0
5302BK-24,5302BK,Saddleback Collection ,"Stool, RTA, 24""H, Black",18 x 9 x 24H,23.0
1915S,1915-60,Anika Collection ,Side Chair,18.5 x 22.75 x 33H,53.0
5470S,5470-72,Jemez Collection ,Side Chair,20 x 25 x 40H,52.0
5447-40,5447-36,Bayshore Collection ,Server,53 x 17.75 x 36H,395.0
2515-50,2515-96,Clayton Collection ,Curio,52 x 20 x 52H,461.0
5447-40,5447-36XL,Bayshore Collection ,Server,53 x 17.75 x 36H,395.0
5887F-1*,5887-1*,Northside Collection,Full Bed,HB: 53H  FB: 22.5H,203.0
5302A-24,5302A,Saddleback Collection ,"Stool, RTA, 24""H, Oak",18 x 9 x 24H,23.0
1386-9,1386TPP-1,Cinderella Collection ,Chest,33 x 18 x 48H,269.0
5887K-1EK*,5887-1*,Northside Collection,Eastern King Bed,HB: 53H  FB: 22.5H,254.0
1947A,1947-96,Lindley Collection ,Arm Chair,23 x 26 x 41H,104.0
1729-5,1729-1*,Vargehese Collection,Dresser,66 x 18 x 37.25H,447.0
1706-9,1706-1,Moritz Collection ,Chest,35 x 17.75 x 51H,292.0
5099-15,5099-15,Millwood Collection ,Writing Desk,60 x 28 x 30H,208.0
1904K-1CK,1904,Beechnut Collection ,California King Bed,HB: 53.5H FB: 21.25H,211.0
8327GY-1S,8327GY-3,Deryn Collection ,Accent Chair,30 x 33.75 x 37H,180.0
8260DB-ARPW,8260DB-PW Sectional,Falun Collection,POWER Armless Reclining Chair,31 x 39 x 39H,218.0
5445-60*,5445-60,Wilner Collection ,Dining Table,36 x 60 x 29.5H,121.0
1393BK-24,1393BK-36,Ohana Collection ,Counter Height Chair,19.5 x 22 x 42.5H,53.0
1393BK-48*,1393BK-48,Ohana Collection ,Round Dining Table,48 Dia x 30H,195.0
1718GYS,1718GY-90*,Begonia Collection,Side Chair,20 X 25 X 39.25H,62.0
1711K-1EK*,1711-1,Raku Collection ,Eastern King Platform Bed with Footboard Storages,HB: 58H FB: 18H,387.0
1393BK-50,1393BK-78,Ohana Collection ,Curio,45.5 x 18 x 54H,352.0
1393BK-50,1393BK-36,Ohana Collection ,Curio,45.5 x 18 x 54H,352.0
1393BK-50,1393BK-48,Ohana Collection ,Curio,45.5 x 18 x 54H,352.0
727-36,727-36,Verona Collection ,Counter Height Table,54 x 40 – 54 x 36H,204.0
8260DB-CN,8260DB-PW Sectional,Falun Collection,Console,16 x 39 x 39H,73.0
2220-1*,2220-1,Lorenzi Collection ,Queen Platform Bed,HB: 44.5H FB: 13.5H,128.0
1869-5,1869-1,Mill Valley Collection,Dresser with Two Hidden Drawers,63 x 15.75 x 34.25H,294.0
8260DB-CR,8260DB-PW Sectional,Falun Collection,Corner Seat,72 x 43 x 39H,233.0
8260DB-LRPW,8260DB-PW Sectional,Falun Collection,POWER Left Side Reclining Chair,39 x 39 x 39H,267.0
5448S,5448-78,Avery Collection ,Side Chair,20.5 x 27.25 x 38.25H,69.0
5425-36,5425-36,Benwick Collection ,Counter Height Table,42 x 60 x 36.5H,223.0
8260DB-RRPW,8260DB-PW Sectional,Falun Collection,POWER Right Side Reclining Chair,39 x 39 x 39H,267.0
2147SG-12,2147SG-12,Mayville Collection ," Lingerie Chest, Hidden Drawer ",21.5 x 15.75 x 56H,149.0
626-36*,626-36,Westwood Collection ,Counter Height Table with Storage Base,48 x 56 – 72 x 36H,314.0
1708BK-5,1708TBK-1*,Odelia Collection,Dresser,59 x 18 x 37H,290.0
3401W-04*,3401W-30,Firth II Collection ,Round End Table with Glass Top,26 Dia x 22.25H,96.0
5235S,5235-54,Cicero Collection ,Side Chair,20 x 23 x 38H,57.0
8255GY-2LCNPHD,8255GY-PW Sectional,Kalmar Collection,"Power Left Side Reclining Love Seat with Center Console, Power Headrest and LED",64.5 x 39 x 40H,533.0
586-76,586-76,Ameillia Collection ,Oval Dining Table,40 x 58 – 76 x 30H,231.0
1255F1S,1255F1S,Alta Collection ," Accent Chair, Two-Tone ",21 x 25 x 34.5H,62.0
H13441,H13441,Etsu Collection,Table Lamp,13 x 8 x 26H,62.0
2220-6,2220-1,Lorenzi Collection ,Mirror,28.75 x 0.75 x 38.75H,33.0
1718GY-90,1718GY-90*,Begonia Collection,Dining Table,42 X 72 - 90 X 30H,297.0
1708BK-6,1708TBK-1*,Odelia Collection,Mirror,47.25 x 1 x 38H,69.0
1916GY-9,1916GY-1*,Allura Collection,Chest,38 x 17 x 51H,277.0
727-40,727-36,Verona Collection ,Server,52 x 18 x 34H,272.0
626-40,626-36,Westwood Collection ,Server,53 x 18 x 36H,338.0
3270-60,3270-60,Archstone Collection,Dining Table,36 x 60 x 30H,141.0
5424-4,5424-1*,Larchmont Collection,"Night Stand, LED lighting",28 x 18 x 28H,207.0
292B-5,292B-1*,Narcine Collection,"Dresser, Marble insert",66 x 18 x 40H,437.0
626-24,626-36,Westwood Collection ,Counter Height Chair,21 x 24 x 42H,60.0
4605GY,4605GY,Rory Collection ," X-Base Bench, Grey Linen ",48 x 16.5 x 18H,97.0
5581S,5581-54*,Ibiza Collection,Side Chair,17.5 X 21.75 X 38.25H,61.0
1852-4,1852-1,Porter Collection ,Night Stand,28 x 16.5 x 25.25H,124.0
5149S,5149-48,Loyalton Collection ,Side Chair,20.25 x 21 x 37.75H,31.0
1737NGY-11,1737NGY-1,Lyric Collection ,TV Chest,41.75 x 18.25 x 41H,296.0
2529S,2528-64*,Alouette Collection,Side Chair,19 x 25 x 39H,51.0
5415RFS,5415RF-78,Sedley Collection ,Side Chair,19.75 x 24 x 38.5H,59.0
8260DB-AC,8260DB-PW Sectional,Falun Collection,Armless Chair,31 x 39 x 39H,130.0
586,586,Ameillia Collection ,Dining Table,42 x 66 x 30H,209.0
1990-9,1990-1,Leavitt Collection ,Chest,38 x 17.5 x 54.25H,277.0
4517,4517,Barolo Collection ,Server,33.5 x 17 x 79H,435.0
727-72,727-72,Verona Collection ,Dining Table,42 x 54 – 72 x 30H,218.0
5877BR-1DW*,5877BR-1DW*,Fairborn Collection,Queen Platform Bed with Storage Footboard,HB: 67H  FB: 15H,359.0
5424-6,5424-1*,Larchmont Collection,Mirror,48 x 1.5 x 38H,82.0
2042-6,2042-1,Woodrow Collection ,Mirror,36 x 1.5 x 36H,42.0
5460-36,5460-36,Diego Collection ,Counter Height Table,39.5 x 39.5 x 36H,87.0
2042-4,2042-1,Woodrow Collection ,Night Stand,22 x 16 x 22H,65.0
8230BRW-CR,8230BRW-2L,Bastrop Collection ,Corner Seat,65.5 x 41 x 39.5H,261.0
B2053TFW-1*,B2053FFW-1,Galen Collection ,Twin / FULL Bunk Bed,77.75 x 57.5 x 65H,274.0
5424-9,5424-1*,Larchmont Collection,Chest,40 x 18 x 56H,358.0
5511,5511,Delmar Collection ,6 Piece Dinette Set,,331.0
1990K-1EK*,1990-1,Leavitt Collection ,Eastern King Bed,HB: 63H FB: 24H,352.0
1990-4,1990-1,Leavitt Collection ,Night Stand,28 x 17.5 x 28H,127.0
2042-5,2042-1,Woodrow Collection ,Dresser,54 x 16 x 36H,195.0
710-72*,710-72,Daisy Collection,Dining Table,42 x 72 x 30H,257.0
1990-5,1990-1,Leavitt Collection ,Dresser,66 x 17.5 x 38.5H,337.0
5873N-ST,5873N-1,Elista Collection ,Ottoman,21.5 x 21.5 x 19.25H,66.0
1990-1*,1990-1,Leavitt Collection ,Queen Bed,HB: 63H FB: 24H,292.0
5067,5067,Clancy Collection ,5 Piece Set,,268.0
B2013SBDC-1*,B2013SBDC-1,Rowe Collection , Bunk Bed with Reversible Step Storage ,96.75 x 41.25 x 63.25H,453.0
1718GY-5,1718GY-1,Begonia Collection ,Dresser with Hidden Drawer,65.25 x 18 x 40H,300.0
1916BK-9,1916BK-1,Allura Collection ,Chest,38 x 17 x 51H,277.0
710-24W,710-36RD,Daisy Collection,"Counter Height Chair, White",20.5 x 24.5 x 40H,62.0
1131-29S,1131-24S,Shapel Collection,Swivel Pub Chair,18 x 19 x 43H,73.0
2558,2558,Jonas Collection ,5 Piece Set,,249.0
727S,727-72,Verona Collection ,Side Chair,19 x 23 x 38H,59.0
1133-29S,1133-24S,Shapel Collection,Swivel Pub Chair,19 x 20 x 43H,78.0
8230BLK-2RCN,8230BLK-2L,Bastrop Collection ,Right Side Double Reclining Love Seat with Center Console,78.5 x 38.5 x 39.5H,425.0
1856NG-9,1856NG-1*,Abbeville Collection,"Chest, Hidden Drawer",31.75  x  17.5  x  47.5H,172.0
5872KN-1CK,5872N-1,Jervis Collection ,California King Bed,HB: 64.5H FB: 14.25H,252.0
1990-6,1990-1,Leavitt Collection ,Mirror,50 x 1.5 x 36H,82.0
1730-5,1730-1*,Cotterill Collection,Dresser,67.25 x 18.75 x 37.75H,288.0
5581A,5581-84*,Ibiza Collection,Arm Chair,23.25 X 22 X 34H,84.0
8210GRY-3,8210GRY-3,Taye Collection ,Double Reclining Sofa,86 x 39.25 x 40.5H,461.0
5108-84,5108-84,Mill Valley Collection,Dining Table,42 x 66 – 84 x 30.25H,316.0
1745-4,1745-1*,Ruote Collection,Night Stand,25 x 17 x 23H,82.0
5431-14,5431-77,Compson Collection ,"60"" Bench",60 x 19.25 x 19.75H,110.0
1856NG-6,1856NG-1*,Abbeville Collection,Mirror,38.5  x 1.25  x  38.25H,41.0
1140E-24S,1140E-24S,Edmond Collection ,Swivel Counter Height Chair,18 x 19 x 38H,71.0
2042-9,2042-1,Woodrow Collection ,Chest,34 x 16 x 48H,175.0
5494A,5494-76,Savion Collection ,Arm Chair,23.5 x 31.25 x 42H,162.0
5581S,5581-84*,Ibiza Collection,Side Chair,17.5 X 21.75 X 38.25H,61.0
1788-1*,1788-1*,Fondren Collection,Queen Platform Bed with Footboard Storage,HB: 60H  FB: 13.75H,421.0
1990K-1CK,1990-1,Leavitt Collection ,California King Bed,HB: 63H FB: 24H,352.0
1752K-1CK*,1752-1*,Griffon Collection,California King Platform Bed with Footboard Storage,HB: 57H  FB: 18H,533.0
5424-5,5424-1*,Larchmont Collection,Dresser,66 x 18 x 38H,385.0
9715PU-3,9715PU,Charley Collection,Sofa,79.5 x 33 x 38H,260.0
5581-54,5581-54*,Ibiza Collection,Round Dining Table,53.5 Dia X 30H,317.0
5400-36XL*,5400-36XL*,Schleiger Collection,Counter Height Table,42 x 59.5 - 77.5 x 36H,364.0
1810-5,1810-1,Bernal Heights Collection ,Dresser,58 x 18 x 36H,288.0
2147TBK-1*,2147BK-1,Mayville Collection ,Twin Sleigh Bed,HB: 47.25H FB: 26.5H,125.0
1933K-1EK*,1933-1*,Tandie Collection,Eastern King Platform Bed with Footboard Storage,HB: 64.75H FB: 18H,656.0
1752K-1EK*,1752-1*,Griffon Collection,Eastern King Platform Bed with Footboard Storage,HB: 57H  FB: 18H,533.0
8334BLK-2,8334BLK-3,Oriole Collection ,Doble Glider Reclining Love Seat with Center Console,78 x 38.5 x 39H,423.0
1967KW-1EK*,1967W-1,Pell Collection ,Eastern King Bed,HB: 47H FB: 12H,268.0
1386-4,1386T-1,Cinderella Collection,Night Stand,24 x 17 x 29H,143.0
2147TBK-1*,2147TBK,Mayville Collection ,Twin Sleigh Bed,HB: 47.25H FB: 26.5H,125.0
5400K-1CK,5400-1,Schleiger Collection ,California King Sleigh Bed,HB: 54.5H FB: 30H,432.0
1978KW-1EK*,1978W-1,Elsmere Collection ,Eastern King Bed,HB: 72.25H FB: 30.25H,633.0
2052FW-1,2052FW-1,Tiana Collection ,Full Metal Platform Bed,HB: 40.5H FB: 25.75H,78.0
5070S,5070-64,Cristo Collection ,Side Chair,19 x 25 x 39H,46.0
9700BRW-3,9700BRW-3,Cranley Collection ,Double Reclining Sofa,83 x 37.5 x 38.5H,425.0
5400-50*,5400-36XL*,Schleiger Collection,Buffet & Hutch,64 X 20 X 86.25H,727.0
1961-5,1961-1,Erwan Collection ,Dresser,59 x 16.25 x 40H,238.0
2046-6,2046-1,Garcia Collection ,Mirror,38.5 x 1.5 x 42.25H,73.0
1961K-1CK,1961-1,Erwan Collection ,California King Bed,HB: 55.25H FB: 16.75H,237.0
2046-1*,2046-1,Garcia Collection ,Queen Bed,HB: 50.5H FB: 16.5H,197.0
1977K-1EK*,1977-1,Aviana Collection ,Eastern King Bed,HB: 63.5H FB: 31.5H,314.0
5149-36*,5149-36,Loyalton Collection ,Counter Height Table,40 x 40 x 36H,69.0
3614-04,3614-01,Akita Collection,End Table,26 x 26 x 23.75H,79.0
1719-6,1719-1*,Clematis Collection,Mirror,40 x 1.5 x 38H,62.0
1968K-1EK*,1968-1,Branton Collection ,Eastern King Bed,HB: 56H FB: 22H,222.0
5400K-1EK*,5400-1,Schleiger Collection ,Eastern King Sleigh Bed,HB: 54.5H FB: 30H,432.0
1788K-1EK*,1788-1*,Fondren Collection,Eastern King Platform Bed with Footboard Storage,HB: 60H  FB: 13.75H,520.0
1808A,1808-112,Russian Hill Collection ,Arm Chair,26.5 x 23 x 43.5H,112.0
1752-5,1752-1*,Griffon Collection,Dresser,61 x 16.75 x 36.5H,361.0
5575S,5575*,Misa Collection,Side Chair,19.25 x 22.25 x 30.75H,52.0
2046K-1EK*,2046-1,Garcia Collection ,Eastern King Bed,HB: 50.5H FB: 16.5H,237.0
1218F1S-3,1218F1S-3,Roweena Collection,Sofa,74 x 33 x 32.5H,288.0
1834-5,1834-1,Faust Collection ,Dresser,60 x 18 x 40H,334.0
1958-6,1958-1,Bevelle Collection ,Mirror,39.25 x 2 x 39.25H,89.0
1737KNC-1CK,1737NC-1,Lyric Collection ,California King Sleigh Platform Bed with Footboard Storage,HB: 50H FB: 18H,574.0
1834-9,1834-1,Faust Collection ,Chest,36 x 18 x 52H,279.0
1218F1S-2,1218F1S-3,Roweena Collection,Love Seat,52.5 x 33 x 32.5H,246.0
1977-9,1977-1,Aviana Collection ,Chest,38 x 17.75 x 52.25H,256.0
5400-24,5400-36XL*,Schleiger Collection,Counter Height Chair,20.25 x 21.5 x 42H,54.0
1968K-1CK,1968-1,Branton Collection ,King Bed,HB: 56H FB: 22H,222.0
1218F1S,1218F1S-3,Roweena Collection,Accent Chair,30.25 x 33 x 32.5H,149.0
8226DB-CR,8226DB,Savarin Collection ,Corner Seat,36.5 x 36.5 x 34H,174.0
1967KW-1CK,1967W-1,Pell Collection ,California King Bed,HB: 47H FB: 12H,268.0
2046-15,2046-1,Garcia Collection ,Writing Desk,47.75 x 18 x 31H,170.0
1977-1*,1977-1,Aviana Collection ,Queen Bed,HB: 63.5H FB: 31.5H,249.0
1961-4,1961-1,Erwan Collection ,Night Stand,23.5 x 16.25 x 23.5H,74.0
2046K-1CK,2046-1,Garcia Collection ,California King Bed,HB: 50.5H FB: 16.5H,237.0
8289BU-2,8289BU,Bedos Collection,Love Seat,62 x 34 x 33.5H,262.0
1978KW-1CK,1978W-1,Elsmere Collection ,California King Bed,HB: 72.25H FB: 30.25H,633.0
5147BKS,5147BK-78,Isleton Collection ,Side Chair,17.75 x 23.5 x 39H,46.0
1188DB-24,1188, ,"Stool, Dark Brown Top",17 x 10.75 x 25.25H,38.0
5873N-BH,5873N-1,Elista Collection ,Bench,49.5 x 20 x 18.5H,131.0
1909RF-9,1909RF-1,Terron Collection ,Chest,39 x 18.5 x 55H,344.0
1916BK-FBH,1916BK-1,Allura Collection ,Bench,54 x 18 x 19H,87.0
5880FDB-1,5880DB-1,Kaydee Collection,Full Bed,HB:52.5H   FB:16H,148.0
1947-9,1947-1,Lindley Collection ,Chest,40 x 18 x 54.25H,334.0
1916FBK-1*,1916BK-1,Allura Collection ,"Full Bed, LED Lighting",HB: 59.75H FB: 26.25H,320.0
1949-9,1949-1,Frederica Collection ,Chest,36 x 17.75 x 52H,234.0
1955K-1EK*,1955-1,Lonan Collection ,Eastern King Bed,HB: 52H FB: 18H,158.0
1147RED,1147,Ride Collection ,Red Airlift Swivel Stool,18.5 x 18.5 x 31H,34.0
586-24,586-36,Ameillia Collection ,Counter Height Chair,20 x 22 x 41H,47.0
5400-1*,5400-1,Schleiger Collection ,Queen Sleigh Bed,HB: 54.5H FB: 30H,362.0
8214BRW-1,8214BRW-1,Waneta Collection ,Push Back Reclining Chair,28.75 x 35.5 x 40H,158.0
1949K-1EK*,1949-1,Frederica Collection ,Eastern King Bed,HB: 59.25H FB: 30.5H,366.0
1946-1*,1946-1,Verlyn Collection ,Queen Canopy Bed,HB: 88H FB: 88H,562.0
5400-4,5400-1,Schleiger Collection ,Night Stand,27.5 x 17.75 x 27.5H,131.0
5876KBR-1CKDW*,5876BR-1DW*,Neunan Collection,California King Platform Bed with Storage Footboard,HB: 67H  FB: 15H,375.0
2147FSG-1*,2147TSG,Mayville Collection ,Full Sleigh Bed,HB: 47.25H FB: 26.5H,147.0
8367TP-3,8367TP-3,Emilio Collection ," Reversible 3-Seater, Left/Right Unit ",76.5 x 32.5 x 33.5H,233.0
1188RD-24,1188, ,"Stool, Red Top",17 x 10.75 x 25.25H,38.0
5877KBE-1EKDW*,5877BE-1DW*,Fairborn Collection,Eastern King Platform Bed with Storage Footboard,HB: 67H  FB: 15H,408.0
5267RF-50*,5267RF-96,Reid Collection ,Buffet & Hutch,58.5 x 18.75 x 80H,907.0
1955F-1*,1955-1,Lonan Collection ,Full Bed,HB: 52H FB: 18H,127.0
5477NA,5477N-96,Orsina Collection ,Arm Chair,25 x 26 x 41.5H,86.0
1757-9,1757-1*,Cavalier Collection,"Chest, Marble insert",44.25 x 20 x 57H,422.0
5021DBS,5021-54,Havre Collection,"Side Chair, Dark Brown",20.5 x 24.5 x 40H,60.0
8490-CR,8490,Columbus Collection ,Corner Seat,65 x 40 x 40H,277.0
1957-9,1957-1,Jerrick Collection ,Chest,37.5 x 17.75 x 53.5H,283.0
1958-9,1958-1,Bevelle Collection ,Chest,40.5 x 19.5 x 52.5H,317.0
1946-5,1946-1,Verlyn Collection ,Dresser,69 x 19.75 x 44.75H,468.0
1958-14,1958-1,Bevelle Collection ,Vanity Stool,18.5 x 16.5 x 19H,57.0
8246GY-1,8246GY,Nevaun Collection,Chair,32 x 34.5 x 34.5H,275.0
1909RF-5,1909RF-1,Terron Collection ,Dresser,64 x 18.5 x 42H,422.0
1946-4,1946-1,Verlyn Collection ,Night Stand,33 x 19 x 30H,204.0
1757-1*,1757-1*,Cavalier Collection,Queen Sleigh Bed,HB: 71H  FB: 31.75H,593.0
1909RF-6,1909RF-1,Terron Collection ,Mirror,46 x 1.5 x 37H,74.0
1947-5,1947-1,Lindley Collection ,Dresser,68 x 17.5 x 38.25H,386.0
5034YLWS,5034,Amara Collection,"Metal Chair, Yellow",15.75 x 19.75 x 37.25H,49.0
1386-5,1386TPP-1,Cinderella Collection ,Dresser,56 x 18 x 33H,309.0
1947-6,1947-1,Lindley Collection ,Mirror,48 x 1.25 x 38H,98.0
1916KBK-1CK,1916BK-1,Allura Collection ,"California King Bed, LED Lighting",HB: 59.75H FB: 26.25H,392.0
1946-6,1946-1,Verlyn Collection ,Mirror,50.75 x 1.75 x 32.75H,107.0
1946-9,1946-1,Verlyn Collection ,Chest,44 x 19.75 x 60H,410.0
1757-4,1757-1*,Cavalier Collection,"Night Stand, Marble Top",34.5 x 19.25 x 32H,267.0
5447-24FAS,5447-24FAS,Bayshore Collection ,"Swivel Counter Height Chair, Chocolate",20.5 x 23 x 41.25H,82.0
1194IN,1194IN,Charisma Collection ,Accent Chair,28 x 30.25 x 34.75H,132.0
1916BK-5,1916BK-1,Allura Collection ,Dresser,63.75 x 17 x 39H,346.0
5494S,5494-76,Savion Collection ,Side Chair,23.5 x 31.25 – 106 x 42H,150.0
5504-78,5504-78,Stevensville Collection ,Dining Table,42 x 60 – 78 x 30H,254.0
1386-6,1386TPP-1,Cinderella Collection ,Mirror,38 x 2 x 44H,82.0
1757-5,1757-1*,Cavalier Collection,"Dresser, Marble insert",68.25 x 21.5 x 41H,530.0
