Model,Status,Additional_Description,Description,Location_ID,Price,Current can sell Qty,Confirmed,Estimated?,Product Origin Code,Weight,CBF,Master Pack,Catalog_Page
1353K-3CK,DS,,(3/3) CK RL&SL,HMLG,,0,,,VCST,28.78,1.82,1,
1353K-3EK,DS,,(3/3) EK RL&SL,HMLG,,0,,,VCST,30.99,1.74,1,
1353T-1,DS,,(1/3) TWIN HDBD,HMLG,,0,,,VCST,28.78,4.49,1,
1353T-2,DS,,(2/3) TWIN FTBD,HMLG,,0,,,VCST,9.96,1.38,1,
1353T-3,DS,,(3/3) TWIN RL&SL,HMLG,,0,,,VCST,24.35,1.73,1,
1354-1,DS,,"(1/3) QUEEN HDBD, PINE>!          X",HMLG,20.00(Unit Price),0,,,V,57.2,19.2,1,
1355S,DS,,"\SIDE CHAIR, BLK SAND THRU        X",HMLG,,0,,,MM,46,3,2,
1356,DS,,(1/2) DINING TABLE TOP            X,HMLG,,0,,,O,0,16.4,1,
1356BK-1,DS,,"(1/3) QUEEN HDBD, BLACK FIN.",HMLG,79.88(Unit Price),0,,,VCST,39.6,4.8833,1,XB-103
1356BK-15,DS,,WRITING DESK,HMLG,175.00(Unit Price),0,,,VCST,125.4,9.53,1,XY-17
1356BK-1HB,DS,,QUEEN / FULL HEADBOARD,HMLG,92.00(Unit Price),0,,,VCST,42.9,4.88,1,XXB-118
1356BK-2,DS,,"(2/3) QUEEN FTBD, BLACK FIN.",HMLG,50.06(Unit Price),2,,,VCST,15.4,2.5659,1,XB-103
1356BK-3,DS,,"(3/3) QUEEN RL & SL, BLACK FIN.",HMLG,39.06(Unit Price),0,,,VCST,31.9,1.4302,1,XB-103
1356BK-4,DS,,"NIGHT STAND, BLACK",HMLG,44.00(Promotional Price),4,,,VCST,39.6,7.1283,1,XB-103
1356BK-5,DS,,DRESSER,HMLG,125.00(Promotional Price),0,,,VCST,105.16,24.6,1,XB-103
1356BK-6,DS,,MIRROR,HMLG,9.00(Promotional Price),1,,,VCST,31.9,4.11,1,XB-103
1356BK-9,DS,,CHEST,HMLG,99.00(Promotional Price),0,,,VCST,91.3,21.4,1,XB-103
1356C-1,DS,,"(1/3) QUEEN HDBD, CHERRY",HMLG,79.88(Unit Price),0,,,VCST,39.6,4.8833,1,XB-104
1356C-2,DS,,(2/3) QUEEN FTBD,HMLG,50.06(Unit Price),0,,,VCST,15.4,2.5659,1,XB-104
1356C-3,DS,,(3/3) QUEEN RL & SL,HMLG,39.06(Unit Price),0,,,VCST,31.9,1.4302,1,XB-104
1356C-4,DS,TBDS,"NIGHT STAND, CHERRY",HMLG,49.00(Promotional Price),0,,,VCST,37.4,7.1283,1,XB-104
1356C-5,DS,TBDS,DRESSER,HMLG,139.00(Promotional Price),0,,,VCST,105.16,24.6,1,XB-104
1356C-9,DS,TBDS,CHEST,HMLG,129.00(Promotional Price),0,,,VCST,91.3,21.4,1,XB-104
1356FBK-1,DS,,"(1/3) FULL HDBD, BLACK FIN.",HMLG,41.88(Promotional Price),2,,,VCST,35.2,4.6945,1,XY-17
1356FBK-2,DS,,"(2/3) FULL FTBD, BLACK FIN.",HMLG,35.06(Promotional Price),1,,,VCST,13.86,2.3501,1,XY-17
1356FBK-3,DS,,"(3/3) FULL RL & SL, BLACK FIN.",HMLG,28.06(Promotional Price),0,,,VCST,29.92,1.3429,1,XY-17
1356FC-1,DS,,"(1/3) FULL HDBD, CHERRY",HMLG,55.88(Promotional Price),0,,,VCST,35.2,4.6945,1,XY-14
1356FC-2,DS,,(2/3) FULL FTBD,HMLG,40.06(Promotional Price),0,,,VCST,13.86,4.69,1,XY-14
1356FC-3,DS,,(3/3) FULL RL & SL,HMLG,29.06(Promotional Price),2,,,VCST,29.92,1.3429,1,XY-14
1356FPRBK-1,DS,TBDS,"(1/4) FULL CAPTAIN'S HDBD, BLK",HMLG,84.88(Unit Price),0,,,VCST,36.3,4.6945,1,XY-16
1356FPRBK-2,DS,TBDS,"(2/4) FULL CPTN'S FTBD & SL,BLK",HMLG,85.04(Unit Price),0,,,VCST,48.4,4.57,1,XY-16
1356FPRBK-3,DS,TBDS,"(3/4) FULL CAPTAIN'S RL, BLK",HMLG,39.04(Unit Price),0,,,VCST,19.8,1.3228,1,XY-16
1356FPRW-1,DS,,"(1/4) FULL CAPTAIN'S HDBD, WHT",HMLG,84.88(Unit Price),0,,,VCST,36.3,4.6945,1,XY-16
1356FPRW-2,DS,,"(2/4) FULL CPTN'S FTBD & SL,WHT",HMLG,85.04(Unit Price),0,,,VCST,48.4,4.57,1,XY-16
1356FPRW-3,DS,,"(3/4) FULL CAPTAIN'S RL, WHT",HMLG,39.04(Unit Price),0,,,VCST,19.8,1.3228,1,XY-16
1356FW-1,DS,,"(1/3) FULL HDBD, WHITE FIN.",HMLG,35.88(Promotional Price),0,,,VCST,35.42,4.6945,1,XY-15
1356FW-2,DS,,"(2/3) FULL FTBD, WHITE FIN.",HMLG,30.06(Promotional Price),8,,,VCST,13.94,2.3501,1,XY-15
1356FW-3,DS,,"(3/3) FULL RL & SL, WHITE FIN.",HMLG,39.06(Promotional Price),7,,,VCST,30.11,1.3429,1,XY-15
1356KBK-1CK,DS,,"(1/3) CK HDBD, BLACK FIN.",HMLG,75.00(Promotional Price),2,,,VCST,44.2,5.7728,1,XB-103
1356KBK-1EK,DS,,"(1/3) EK HDBD, BLACK FIN.",HMLG,115.88(Unit Price),0,,,VCST,47.07,6.0646,1,XB-103
1356KBK-2CK,DS,,"(2/3) CK FTBD, BLACK FIN.",HMLG,58.00(Promotional Price),2,,,VCST,19.44,3.004,1,XB-103
